Item,Demand,Std Dev Demand,Change Over Cost,Inventory Price/unit,Machine cycle time(min),Units per machine cycle,Initial Inventory ,Monthly,Total Time:,10000,Cost Tolerance:,500000
2.00 MIL PMMA FILM  00138200  DGO 38 IN,12397,10098,323,1.09,60,2209,1239.7,,,,,
2.00 MIL PMMA FILM  00138200  DGO 51 IN,565081,385171,14745,0.69,60,2938,56508.1,,,,,
3.00 MIL PMMA Film  00033300 IMClear  38 IN,25638,7061,496,1.61,60,1968,2563.8,,,,,
3.00 MIL PMMA Film  00033300  IMClear  50 IN,200655,106839,3884,0.92,60,2586,20065.5,,,,,
3.00 MIL PMMA Film  00031300  Yellow  50 IN,2361,3292,2482,1.38,60,2586,236.1,,,,,
3.00 MIL PMMA FILM  00152300  Red  32 IN,3733,2297,609,2.92,60,1662,373.3,,,,,
3.00 MIL PMMA FILM  00152300  Red  38 IN,6214,3239,1014,2.61,60,1968,621.4,,,,,
3.00 MIL PMMA FILM  00152300  Red  50 IN,10301,6120,1681,1.27,60,2586,1030.1,,,,,
3.00 MIL PMMA Film  00040300  Green  32 IN,7063,3746,284,2.81,60,1662,706.3,,,,,
3.00 MIL PMMA Film  00040300  Green  38 IN,9097,4434,366,1.26,60,1968,909.7,,,,,
3.00 MIL PMMA Film  00040300  Green  50 IN,49617,47798,1994,1.17,60,2586,4961.7,,,,,
3.00 MIL PMMA FILM  00147300  Brown  38 IN,2186,2027,948,3.86,60,1968,218.6,,,,,
3.00 MIL PMMA FILM  00147300  Brown  50 IN,2083,2575,903,1.11,60,2586,208.3,,,,,
3.00 MIL PMMA Film  00035300  Black  32 IN,5804,3869,319,2.65,60,1662,580.4,,,,,
3.00 MIL PMMA Film  00035300  Black  38 IN,8676,3898,476,1.56,60,1968,867.6,,,,,
3.00 MIL PMMA Film  00035300  Black  50 IN,14852,8169,815,1.04,60,2586,1485.2,,,,,
3.00 MIL PMMA FILM  00157300  Blue  38 IN,5819,4382,433,1.48,60,2968,581.9,,,,,
3.00 MIL PMMA FILM  00157300  Blue  50 IN,40460,65792,3011,1.2,60,2586,4046,,,,,
